"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"3519248","2018-10-09 00:40:44","1403536","3.2300","116","71","B","5","<p>Mr Hughes attends a pre-assessment for surgery to repair a rotator cuff tear.</p><p>&nbsp;</p><p>The consultant grills the medical student who is sat in with them on the muscles of the shoulder.</p><p>&nbsp;</p><p>Which muscles make up the rotator cuff?</p>","<p>Deltoid<br />Supraspinatus<br />Teres major<br />Teres minor</p>","<p>Infraspinatus<br />Supraspinatus<br />Subscapularis<br />Teres minor</p>","<p>Teres major<br />Infraspinatus<br />Supraspinatus<br />Subscapularis</p>","<p>Deltoid<br />Latissimus dorsi<br />Infrapinatus<br />Supraspinatus</p>","<p>Teres minor<br />Subscapularis<br />Latissimus dorsi<br />Supraspinatus</p>","<p>I remember it as SIMS:</p><p>&nbsp;</p><ul><li>Suprapinatus</li><li>Infrapinatus</li><li>Minor (Teres minor)</li><li>Subscapularis</li></ul><p>From this order, you can also learn their insertions.</p><ul><li>""SIM"" insert into the superior, middle and inferior facets of the greater tubercle.</li><li>""S"" inserts in the lesser tubercle (This S = subscapularis and sub is similar to lesser)</li></ul><p>Hope this helps!</p>","-"
"3519558","2018-10-23 21:41:00","1403536","3.1100","105","73","D","5","<p>Miss Jones attends her GP practice for cryotherapy of a verruca on her right foot. The sole of the foot is classified as ""thick skin""</p><p>&nbsp;</p><p>What type of epithelium is thick skin?</p>","<p>Pseudostratified columnar</p>","<p>Simple columnar</p>","<p>Simple cuboidal</p>","<p>Stratified squamous (keratinising)</p>","<p>Stratified squamous (non-keratinising)</p>","<p>Stratified squamous (keratinising) epithelia mostly make up areas which need protection from abrasion. Non keratinised epitherlia are also prone to drying out and hence require bodily secretions to maintain them (an example of this is the corneal epithelium.</p><p>&nbsp;</p><p>This is in Professor Wilson's lecture ""Principles of Microanatomy"".</p><p>&nbsp;</p><p>Leeds University have some good resources on histology:&nbsp;https://www.histology.leeds.ac.uk/skin/epidermis_layers.php&nbsp;</p>","-"
"3519662","2018-10-24 02:55:12","1502880","2.6500","75","55","D","4","<p>What nerve supplies the anterior arm?</p>","<p>Radial</p>","<p>Ulnar</p>","<p>Axillary</p>","<p>Musculocutaneous</p>","","<p>The musculocutaneous nerve supplies the anterior arm (upper).</p><p>The radial nerve supplies the posterior arm and posterior forearm.</p><p>The ulnar nerve mostly supplies the hand.</p><p>The axillary nerve supplies the deltoid and teres minor muscles</p>","-"
"3519663","2018-10-24 02:56:17","1803219","2.0200","78","62","A","5","<p>What is the longest bone of the upper limb called?</p>","<p>Humerus</p>","<p>I. Metacarpal</p>","<p>Scapula</p>","<p>Clavicle</p>","<p>Scaphoid</p>","","-"
"3519673","2018-10-24 02:58:48","1805911","2.6500","79","62","A","5","<p>What nerve innervates the teres minor muscle?</p>","<p>Axillary</p>","<p>Brachial</p>","<p>Subscapular</p>","<p>Suprascapular</p>","<p>Musculocutaneous</p>","<p>The teres minor is inervated by the axillary nerve.</p>","Anatomy"
"3519676","2018-10-24 03:00:17","1805704","2.6200","75","55","E","5","<p>There are three parts of the sternum. What is the most inferior part called?</p>","<p>Angle</p>","<p>Body</p>","<p>Costal</p>","<p>Costochondral</p>","<p>Xiphoid process</p>","<p>The xiphoid process is the most inferior part of the sternum. It sticks out from the body of the sternum.</p><p>&nbsp;</p><p>See Moore&rsquo;s Essential Clinical Anatomy (5e) page 45.</p>","-"
"3519677","2018-10-24 03:00:23","1805326","2.6200","78","60","C","5","<p>You are a trauma surgeon. An elderly lady has a removed clavicle that you must reattach. Where do you attach the sternal end?</p>","<p>Glenoid Fossa</p>","<p>Greater Tubercle</p>","<p>Manubrium</p>","<p>Sternum</p>","<p>Thylakoid</p>","<p>The point of contact on the sternum is called the manubrium</p>","-"
"3519680","2018-10-24 03:00:48","1805241","2.6800","74","60","C","5","<p>What condition occurs due to damage of the serratus anterior?</p>","<p>Weakness of the peripheral limb</p>","<p>Unable to abduct the shoulder</p>","<p>Winging of the scapula</p>","<p>Weakened lateral rotation of the shoulder&nbsp;</p>","<p>Unattached Pectoralis Major</p>","<p>the serrates anterior attaches the scapula to the rib cage and if these muscles are damaged then the scapula is no longer held in place.</p>","-"
"3519683","2018-10-24 02:58:36","1805640","2.9500","97","75","B","4","<p>Name the following muscle:</p><p><img src=""../images/view.php?file=300061"" alt=""no description"" /></p>","<p>Flexor carpi ulnaris</p>","<p>Palmaris longus</p>","<p>Pronator teres</p>","<p>Flexor carpi radialis</p>","","<p>Palmaris longus runs between flexor carpi ulnaris and flexor carpi radialis, and is continuous with the palmar aponeurosis.</p>","Anatomy"
"3519684","2018-10-24 03:01:54","1602420","2.7000","100","76","C","5","<p>Your 18-year-old male patient presents in A&amp;E following a fall on outstretched hand with tenderness in the anatomical snuff box. Which bone is most likely to have been fractured?</p>","<p>Capitate</p>","<p>Radius</p>","<p>Scaphoid</p><p>&nbsp;</p>","<p>Tibia</p>","<p>Ulna</p>","<p>The floor of the anatomical snuff box is formed by the scaphoid and capitate(? maybe it's the lunate. I should google that) bones. Of these two, the scaphoid is the most fragile and articulates with the head of the radius and so is most likely to have been broken in this scenario.</p>","Anatomy, Upper limb"
"3519685","2018-10-24 03:01:58","1502880","2.9600","106","80","C","4","<p>patient presents to clinic with an inability to flex the index finger.</p><p>this is termed the sign of benediction.</p><p>what nerve is damaged?</p>","<p>radial</p>","<p>ulnar</p>","<p>median</p>","<p>musculocutaneous</p>","","<p>median nerve = sign of benediction</p><p>ulnar nerve = claw hand</p><p>radial = numb hand</p>","Anatomy"
"3519686","2018-10-24 03:02:22","1803704","3.0400","109","69","E","5","<p>Mr Thomas comes into A&amp;E suffering from acute chest pain. You think he might be having a heart attack. Which protein should you do a blood test for?</p>","<p>Actin</p>","<p>Myosin</p>","<p>Kinesin</p>","<p>Tropomyosin</p>","<p>Troponin</p>","<p>Troponins are proteins found in the cardiac and skeletal muscles. When the heart is damaged, it releases troponin into the bloodstream. Doctors measure your troponin levels (specifically T troponin) to detect whether or not you&rsquo;re experiencing a heart attack. This test can also help doctors find the best treatment sooner.</p>","Muscle microanatomy"
"3519687","2018-10-24 03:02:56","1803130","2.7200","77","60","C","5","<p>A cyclist falls off his bike and lands on his outstretched hand. He is referred by the GP to have an X-Ray done and the physician states that this bone is commonly fractured with outstreched hand injuries. Which bone in the wrist did the cyclist fracture?</p>","<p>Capitate</p>","<p>Pisiform</p>","<p>Scaphoid</p>","<p>Trapezoid</p>","<p>Triquetrum</p>","<p>The scaphoid bone is commonly fractured with an outstretched hand.</p>","-"
"3519689","2018-10-24 03:03:47","1806300","2.8200","90","67","B","5","<p>Mrs Smith comes into A&amp;E with sharp pain in the shoulders. It appears she has dislocated her shoulder joint.</p><p>Where does the head of the humerus articulate with the scapula?</p>","<p>Acromion</p>","<p>Glenoid fossa</p>","<p>Infraspinous fossa</p>","<p>Spine of the scapula</p>","<p>Supraspinous fossa</p>","<p>The shoulder joint is formed by the articulation of the head of the humerus with the glenoid cavity (or fossa) of the scapula. This gives rise to the alternate name for the shoulder joint &ndash; the glenohumeral joint.</p>","Anatomy"
"3519690","2018-10-24 03:03:50","1800363","2.9600","93","69","A","5","<p>Which carpal bone is adjacent to the radial styloid process?</p>","<p>Scaphoid</p>","<p>Pisiform</p>","<p>Hamate</p>","<p>Trapezium</p>","<p>Trapezoid</p>","<p><img src=""../images/view.php?file=300066"" alt=""no description"" /></p>","Anatomy - Upper Limb"
"3519691","2018-10-24 03:04:05","1803980","2.4000","103","72","D","5","<p>Rav has some problems with his nervous system.</p><p>&nbsp;</p><p>The ion concentration inside and outside his cells is extremely important for impulse condution and creating an action potential. Na+ K+ and Cl- are 3 of the most important ions regarding this. Rav seems to have a lower than usual Na+ ion concentration. What is the typical extracellular concentration of Na+ &#65311;&nbsp;</p>","<p>5 mM</p>","<p>15mM</p>","<p>140mM</p>","<p>145mM</p>","<p>150mM</p>","<p>The answer is 145mM. This can be found in Dr Patel's membrane and action potential slides (4/10/18)</p>","Membrane and action potential"
"3519695","2018-10-24 03:04:43","1800162","3.0900","135","88","A","5","<p>Syed, a 10 year-old boy, has fallen on his out-stretched right hand whilst playing football. He comes into the clinic clutching his right arm, with his shoulder depressed.</p><p>&nbsp;</p><p>Which upper-limb bone is he most likely to have fractured?</p>","<p>Clavicle</p>","<p>Humerus</p>","<p>Radius</p>","<p>Scapula</p>","<p>Ulnar&nbsp;</p>","<p>The clavicle is responsible for transmitting force between the upper-limb and the trunk. It is weak between its medial and middle thirds due to the lack of ligaments in this area. Falls on out-stretched hands (FOOSH) often results in fractures here. The shoulder is depressed, as the trapezius is not strong enough to hold the lateral end of the clavicle up on it's own.&nbsp;</p>","Anatomy, Upper limb, Upper Limb Anatomy, Falls, Pectoral Girdle"
"3519696","2018-10-24 03:05:01","1502880","2.6700","83","70","C","4","<p>What does the P wave in the ECG stand for?</p>","<p>Atrial diastole</p>","<p>ventricular diastole</p>","<p>atrial systole</p>","<p>ventricular systole</p>","","<p>P wave = atrial contraction</p><p>QRS = ventricular contraction</p><p>QRS complex hides atrial relaxation.</p><p>T wave = ventricular relaxation</p>","-"
