"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"4110625","2019-10-23 02:47:08","1900311","2.7900","76","62","A","3","<p>Which muscles does the musculocutaneous nerve supply?</p>","<p>Biceps, coracobrachialis, brachialis&nbsp;</p>","<p>teres minor, teres major, Infrapinatus&nbsp;</p>","<p>extensor Carpi ulnaris, extensor digitorum, extensor carpi radialis&nbsp;</p>","","","<p>&#129322;</p>","Anatomy"
"4110631","2019-10-23 02:49:07","1900439","3.0400","62","49","D","5","<p>Which nerve innervates the lateral half of flexor digitorum profundus?</p>","<p>Ulnar nerve</p>","<p>Radial nerve</p>","<p>Musculocutaneous nerve&nbsp;</p>","<p>Median nerve</p>","<p>Axillary nerve</p>","","-"
"4110632","2019-10-23 02:49:19","1902781","3.3400","88","70","B","5","<p>Mr Davies is unable to engage in physical activity without sudden fatigue. He goes to his GP and is diagnosed with Mcardle's disease. This metabolic condition is the inability to breakdown what molecule?</p>","<p>Lipid</p>","<p>Glycogen</p>","<p>Protein</p>","<p>Creatine Phosphate</p>","<p>Lactate</p>","<p>B - glycogen&nbsp;</p><p>Mcardle's disease is a glycogen storage disease that relates to the inability to break down glycogen stores in muscles through glycogenolysis, thus not being able to release energy through glycolysis, resulting in rapid fatigue and failure to continue.</p>","Metabolism"
"4110634","2019-10-23 02:49:40","1901391","3.1400","87","74","C","5","<p>Which of the following muscles is not a rotator cuff muscle?</p>","<p>teres minor</p>","<p>Supraspinatus</p>","<p>serratus anterior</p>","<p>Subscapularis&nbsp;</p>","<p>Infraspinatus</p>","<p>Serratus anterior is not a rotator cuff muscle. It originates from the top 8-9 ribs.&nbsp;Its main part lies deep under the scapula and the pectoral muscles.&nbsp;</p>","Anatomy"
"4110635","2019-10-23 02:50:02","1901493","3.0500","78","61","D","5","<p>Which forearm muscle belongs to the anterior superficial layer?</p>","<p>Extensor retinaculum</p>","<p>Flexor pollicis longus</p>","<p>Extensor digitorum</p>","<p>Flexor carpi radialis</p>","<p>Pronator quadratus</p>","<p>This is in the superficial layer of the anterior compartment of the forearm</p>","Anatomy"
"4110637","2019-10-23 02:50:20","1903144","3.1900","85","63","B","5","<p>A patient enters a GP surgery having hit her elbow on a banister whilst walking down the stairs. When making a fist, only her pinky and ring finger are able to bend. What nerve has the patient damaged?</p>","<p>Ulnar</p><p>&nbsp;</p>","<p>Median</p>","<p>Radial</p>","<p>Musculocutaneous</p>","<p>Axillary</p>","<p>The condition is known as the ""sign of benediction"", and is caused when the median nerve is damaged at the wrist or elbow.</p>","Brachial Plexus"
"4110638","2019-10-23 02:50:34","1801752","3.0600","91","70","B","5","<p>What is the term given to contraction where the pressure increases in the ventricles but there is no volume change (happens in early ventricular systole)</p>","<p>isometric&nbsp;</p>","<p>isovolumetric&nbsp;</p>","<p>isotonic</p>","<p>eccentric</p>","<p>concentric</p>","","Cardiac cycle"
"4110639","2019-10-23 02:50:59","1904995","3.0200","69","55","B","5","<p>Which nerve supplies the teres minor muscle&nbsp;</p>","<p>Subclavicular nerve</p>","<p>Axillary nerve</p>","<p>Musculocutaneous nerve&nbsp;</p>","<p>Median nerve</p>","<p>Radial nerve</p>","<p>The axillary nerve innervates the teres minor muscle&nbsp;</p>","-"
"4110640","2019-10-23 02:51:17","1901034","3.3800","95","64","B","5","<p>Mr smith presents with a winged scapula following an emergency procedure (chest tube insertion) this can be explained due to damaged caused to a nerve. What nerve would this be?&nbsp;</p>","<p>Dorsal scapular nerve&nbsp;</p>","<p>Long thoracic nerve&nbsp;</p>","<p>Musculocutaneous nerve &nbsp;</p>","<p>Median nerve&nbsp;</p>","<p>Axillary nerve</p>","<p>The answer is long thoracic nerve. this innervates Serratus anterior which &rdquo;holds&rdquo; the scapula close to the thorax. A chest tube can damage this as it can sever the long thoracic nerve when inserted.</p>","Nerve damage"
"4110641","2019-10-23 02:51:51","1800283","3.3200","86","69","E","5","<p>Mr K comes into A&amp;E with a winged scapula following a motorcycle accident. Which nerve has been damaged?</p>","<p>Dorsal scapula nerve</p>","<p>Radial nerve</p>","<p>Musculocutaneous nerve</p>","<p>Subscapular nerve</p>","<p>Long thoracic nerve</p>","<p>A winged scapula occurs as a result of damage to the long thoracic nerve (C5-C7), which innervates serratus anterior.</p>","Anatomy"
"4110642","2019-10-23 02:51:55","1901064","2.7500","74","60","B","5","<p>Which muscles insert on to the coracoid process?</p>","<p>Deltoid, long head of biceps brachii and coracobrachialis</p>","<p>Pectoralis minor, coracobrachialis and the short head of biceps brachii</p>","<p>Pectoralis major, trapezius and triceps brachii</p>","<p>Coracobrachialis, latissimus dorsi and the short head of biceps brachii</p>","<p>Pectoralis major, coracobrachialis and the long head of biceps brachii</p>","<p>The long head of biceps brachii inserts on to the scapula (goes over the shoulder) and pectoralis major and deltoid insert on to the humerus.</p>","Anatomy"
"4110643","2019-10-23 02:52:00","1901796","2.7200","75","65","C","5","<p>Mr Slade visits hospital with paralysis due to Tetradoxin poisoning. He is unable to move. Which ion channels in the body has become blocked causing the paralysis?</p>","<p>K<sup>+</sup></p>","<p>Cl<sup>-</sup></p>","<p>Na<sup>+</sup></p>","<p>Ca<sup>2+</sup></p>","<p>Fe<sup>2+</sup></p>","<p>Tetradoxin blocks Na<sup>+</sup> preventing an action potential from being initiated.</p>","-"
"4110644","2019-10-23 02:52:03","1904270","2.9300","91","74","C","5","<p>What nerve innervates Biceps Brachii?</p>","<p>Radial nerve&nbsp;</p>","<p>Ulnar nerve&nbsp;</p>","<p>Musculocutaneous nerve</p>","<p>Axillary nerve&nbsp;</p>","<p>Medial nerve&nbsp;</p>","<p>The musculocutaneous nerve innervates Biceps Brachii.</p>","Upper Limb Anatomy"
"4110646","2019-10-23 02:52:12","1801353","3.3800","84","63","A","4","<p>Mrs Adams complains of pain in her hand and tingling. The doctor diagnoses her with carpal tunnel syndrome. What nerve is being compressed in carpal tunnel syndrome?</p>","<p>Median nerve</p>","<p>Ulna nerve</p>","<p>Radial nerve</p>","<p>Axillary nerve</p>","","<p>The median nerve travels to the wrist through the carpal tunnel. Compression of the nerve due to swelling etc can cause tingling and pain in the hand.</p>","Anatomy of upper limb"
