"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"4047321","2019-10-01 03:19:49","1502880","2.9200","108","84","D","5","<p>What bone is broken in this xray?<img src=""../images/view.php?file=347191"" alt=""no description"" /></p>","<p>Fibula</p>","<p>Femur</p>","<p>Radius</p>","<p>Tibia</p>","<p>Ulna</p>","<p>Tibia (medial leg bone)</p>","Case 1"
"4047322","2019-10-01 03:20:24","1601722","2.8200","85","72","C","4","<p>At what stage of the menstrual cycle does a surge of LH occur?</p>","<p>Follicular Phase&nbsp;</p>","<p>Menstruation&nbsp;</p>","<p>Ovulation</p>","<p>Luteal Phase&nbsp;</p>","","<p>The ovulatory phase begins with a surge in luteinizing hormone and follicle-stimulating hormone levels. Luteinizing hormone stimulates egg release (ovulation), which usually occurs 16 to 32 hours after the surge begins. The estrogen level decreases during the surge, and the progesterone level starts to increase.</p>","Menstrual Cycle"
"4047326","2019-10-01 03:21:56","1622433","2.9600","86","68","D","5","<p>Which of the following terms describes the most developed stage of embryogenesis&nbsp;</p>","<p>the six cell stage&nbsp;</p>","<p>zygote&nbsp;</p>","<p>the four cell stage&nbsp;</p>","<p>blastocyst&nbsp;</p>","<p>morula&nbsp;</p>","","-"
"4047328","2019-10-01 03:22:07","1508603","2.5700","97","79","B","5","<p>Which of the following is not a form of host defence seen in female patients?</p><p>&nbsp;</p>","<p>Lysozyme secretions</p>","<p>Prostatic secretions</p>","<p>Mechanical flushing of urine</p>","<p>Vesicoureteral value function</p>","<p>Secretion of Tam-Horsfall proteins</p>","<p>Females do not have a prostate. Prostatic secretions are used but it is a male host defence mechanism.</p>","UTI, Urinary tract, case 2"
"4047329","2019-10-01 03:22:19","1606406","1.1600","131","104","D","5","<p>What is the definition of LMP stand for in the context of dating pregnancy?&nbsp;</p>","<p>Last menstruation pregnancy&nbsp;</p>","<p>Last menstruation period&nbsp;</p>","<p>Latest menstruation period&nbsp;</p>","<p>Long menstruation period&nbsp;</p>","<p>Length of menstruation period&nbsp;</p>","<p>Correct b - last menstruation period, the date of a women's last menstruation period starting and is used to determine the due date of the pregnancy&nbsp;</p>","Menstrual Cycle, Case 7"
"4047331","2019-10-01 03:22:31","1601703","2.7400","67","54","C","5","<p>What hormone is responsible for stimulating the corpus luteum to secrete hormones during pregnancy?</p>","<p>CRH</p>","<p>hPL</p>","<p>hCG</p>","<p>Progesterone</p>","<p>Oestrogen</p>","","-"
"4047334","2019-10-01 03:23:43","1509942","1.7000","81","63","D","5","<p>What is FAS?</p>","<p>Fetal Alcohol Syndrome&nbsp;</p>","<p>Alcohol-related birth defects</p>","<p>Leads to&nbsp;growth retardation, minor facial abnormalities, and deficiencies in the central nervous system (CNS).</p>","<p>Fetal Alcohol Syndrome (FAS) is the most severe collection of alcohol-related birth defects, and is defined by pre- and post-natal growth retardation, minor facial abnormalities, and deficiencies in the central nervous system (CNS).</p>","<p>None of the above</p>","","Pregnancy"
"4047335","2019-10-01 03:24:29","1607072","2.9200","89","77","E","5","<p>Which chromosomal abnormality is also called Turner Syndrome?</p>","<p>Trisomy 13</p>","<p>Trisomy 18</p>","<p>Trisomy 21</p>","<p>XXY&nbsp;</p>","<p>X</p>","<p>Trisomy 21 is another name for Down's Syndrome, Trisomy 18 causes Edward's Syndrome, Trisomy 13 causes Patau Syndrome, XXY abnormality causes Klinefelter syndrome and single X abnormality causes Turner Syndrome.</p>","-"
"4047338","2019-10-01 03:25:27","1604615","2.6200","118","95","C","5","<p>A 25 year old woman comes into a GP having missed 2 periods. You suspect she might be pregnant so decide to conduct a pregnancy test. Which hormone is detected in a pregnancy test?</p>","<p>Oestrogen</p>","<p>GnRH</p>","<p>hCG</p>","<p>FSH</p>","<p>LH</p>","<p>hCG is detected in pregnancy tests</p>","Case 7, Pregnancy"
"4047339","2019-10-01 03:25:37","1601722","2.7200","95","81","B","4","<p>A 16 year old comes into the GP stating her period has not arrived when she was expecting it a few days ago - what is an absent menstruation also known as?&nbsp;</p>","<p>Diarrhoea&nbsp;</p>","<p>Amenorrhoea&nbsp;</p>","<p>Cystorrhoea&nbsp;</p>","<p>Leukorrhaea&nbsp;</p>","","<p>Absent menstruation, or amenorrhea, is the absence of menstrual bleeding. It happens when a girl hasn't had her first menstrual period by age 16. It also occurs then a woman fails to menstruate for 3 to 6 months.</p>","Menstrual Cycle"
