"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"2320093","2016-10-12 23:17:29","1502957","2.7000","146","99","A","5","<p>A woman is presenting with severe labour pain. She has to be given a spinal anaesthetic. Which of these locations can she not be given the anaesthetic in?</p>","<p>T1</p>","<p>L4</p>","<p>L5</p>","<p>S1</p>","<p>S2</p>","<p>You cannot administer spinal anaesthetic above the conus &nbsp;(L1/L2)</p>","anaesthetic, case 8, embryology"
"2320457","2016-10-13 02:23:47","1502561","2.8200","151","99","C","5","<p>A 4-year-old child presents to clinic with a history of seizures, absent speech, microcephaly and has been described to be &lsquo;behind in intellectual development in school&rsquo;. After a series of diagnostic, genetic screening and tests, you diagnose Angelman Syndrome (AS). What is Angelman Syndrome caused by?</p>","<p>Deletion inherited on Paternal chromosome 15</p>","<p>Deletion on Maternal chromosome 15</p>","<p>Deletion inherited on Maternal chromosome 15</p>","<p>Inversion inherited on Paternal chromosome 15</p>","<p>Deletion on Paternal chromosome 11</p>","<p>Explanation: C</p><p>Angelman Syndrome (AS) is caused by <strong>Deletion inherited on maternal chromosome 15</strong>. Symptoms include, microcephaly, gait ataxia, severe intellectual disability, absent speech, seizures and a happy demeanour. As both the maternal and paternal imprinting genes are expressed as OFF, (maternal being faulty), the paternal pattern imprinting on the maternal chromosome 15q13 causes Angelman syndrome &ndash; see unusual pattern of inheritance lecture</p>","Case 7, Case group 57, chromosome abnormalities"
"2320990","2016-10-13 08:11:25","1502289","2.9400","140","87","D","5","<p>Leia is a 28 year old woman who has come to her GP with concerns that she is no longer producing breast milk. She is a single mother of a 16 month old boy and has recently gone back out to work as a flight attendant. She has read on the internet about various hormones involved but is confused as to which one is responsible for her producing milk. Which hormone would you tell her is most important for her to maintain lactation?</p>","<p>Oxytocin</p>","<p>Progesterone</p>","<p>Oestrogen</p>","<p>Prolactin</p>","<p>hPL</p>","<p>Answer:</p><p><strong>D. Prolactin</strong></p><p>&nbsp;- appears to be the single most important galactopoietic hormone</p><p>&nbsp;- continuous suckling is essential for milk removal from glands which stimulates release of prolactin&nbsp;</p><p>&nbsp;- milk production is slowed once the milk accumulates in the breast (more FIL i.e. whey protein is present which is an inhibitor of lactation)</p><p>&nbsp;-&nbsp;since Leia is a flight attendant and is most likely absent to breastfeed for days at a time, there is no removal of milk (hence no prolactin to maintain lactation)</p><p>&nbsp;</p><p><em>From ""Anatomy of the breast, physiology and immunology of lactation"" by Dr. McCarthy in Case 8</em></p>","case 8, Breast, Lactation"
"2321112","2016-10-13 09:19:04","1508184","2.9900","145","98","E","5","<p>At which weeks of pregnancy &nbsp;is the Induction of labour is offered &nbsp;to woman</p>","<p>37</p>","<p>38</p>","<p>39</p>","<p>40</p>","<p>42</p>","<p>Women with uncomplicated pregnancies should usually be offered induction of labour between 41+0 and 42+0 weeks to avoid the risks of prolonged pregnancy. The exact timing should take into account the woman's preferences and local circumstances.</p><ul><li>&nbsp;If a woman chooses not to have induction of labour, her decision should be respected. Healthcare professionals should discuss the woman's care with her from then on.</li><li>&nbsp;From 42 weeks, women who decline induction of labour should be offered increased antenatal monitoring consisting of at least twice&#8209;weekly cardiotocography and ultrasound estimation of maximum amniotic pool depth</li></ul><p>&nbsp;</p><p>&nbsp;</p><p>Women should be informed that most women will go into labour spontaneously by 42 weeks. At the 38 week antenatal visit, all women should be offered information about the risks associated with pregnancies that last longer than 42 weeks, and their options. The information should cover:</p><p>membrane sweeping:</p><p>that membrane sweeping makes spontaneous labour more likely, and so reduces the need for formal induction of labour to prevent prolonged pregnancy</p><p>what a membrane sweep is</p><p>that discomfort and vaginal bleeding are possible from the procedure</p><p>induction of labour between 41+0 and 42+0 weeks</p><p>expectant management.</p>","case 8"
"2325846","2016-10-14 11:46:40","1505653","3.1200","191","108","B","5","<p>Chorionic Villus Sampling is a test only offered to pregnant women if they have a high risk their baby could have a genetic condition.</p><p>&nbsp;</p><p>What is the most common method used for chorionic villus sampling?</p>","<p>Transcervical CVS - where a tube or small forceps is inserted through the cervix between 11 - 14 weeks of pregnancy.</p>","<p>Transabdominal CVS - where a needle is inserted through the abdomen to collect a sample of cells from the placenta between 11 - 14 weeks of pregnancy.</p>","<p>Transabdominal CVS - where a needle is inserted through the abdomen to collect a sample of cells from the trophoblast 12 - 16 weeks of pregnancy.</p>","<p>Transcervical CVS - Needle inserted through the cervix to collect a sample of cells from the placenta between 15 - 20 weeks of pregnancy.</p>","<p>Transabdominal CVS - Needle inserted into the amniotic cavity to collect cells, carried out between 15 - 20 weeks of pregnancy.</p>","<p><strong>Chorionic Villus Sampling:</strong></p><p>&nbsp;</p><p>&bull; Involves removing and sampling the cells from the <strong>placenta</strong>.</p><p>&bull; It's only offered if there's a high risk your baby could have a genetic condition.</p><p><br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - An earlier antenatal screening test has suggested there may be a problem, such as Down's &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;syndrome, Edward's syndrome or Patau's syndrome, or sickle cell anaemia.</p><p><br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - You've had a previous pregnancy with these problems.</p><p>&nbsp;</p><p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - You have a family history of a genetic condition, such as cystic fibrosis or muscular dystrophy, &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;and an abnormality is detected in your baby during a routine ultrasound scan.</p><p>&nbsp;</p><p>&bull; CVS is usually carried out between the <strong>11th and 14th weeks of pregnancy</strong>, although it's sometimes performed later than this if necessary.</p><p>&nbsp;</p><p>&bull; <strong>Transabdominal CVS</strong> &ndash; a needle is inserted through your tummy (this is the <strong>most common method used</strong>).</p><p>&nbsp;</p><p>&bull; Transcervical CVS &ndash; a tube or small forceps (smooth metal instruments that look like tongs) are inserted through the cervix (the neck of the womb).</p>","Case 7, Pregnancy"
"2329266","2016-10-14 22:07:23","1508184","2.3700","160","101","E","5","<p>Amniocentesis reveals an elevated AFP level. What should be included in a differential diagnosis, and how would a definitie &nbsp;one be made?</p>","<p>placenta problem and NTD . Ultrasound required.&nbsp;</p>","<p>tumour marker and CNs disorder . ultrasound required.&nbsp;</p>","<p>NTD and abdominal defect . blood test .&nbsp;</p>","<p>NTD &nbsp;and placenta problem &nbsp;. Blood test .</p>","<p>abdominal defect and NTD. Ultrasound .&nbsp;</p>","<p>Amniocentesis :AFP is sampling via amniotic fluid. &nbsp;Hence the abnorma is more closely related to the fetus.</p><p>Maternal AFP is done via serum and its related to liver disease , placenta problem and tumour marker mainly.</p><p>hence fetal AFP is due to&nbsp;</p><p>Neural tube defects, such as spina bifi da and anencephaly, produce elevated a-fetoprotein (AFP) levels, as do abdominal defects, such as gastroschisis and omphalocele. Maternal serum AFP levels are also elevated, so that they may be used as a screen to be confi rmed by amniocentesis. Ultrasonography is used to confi rm the diagnosis.</p>","chromosome abnormalities, Case 7, Pregnancy, case 8, embryology"
"2329287","2016-10-14 22:16:17","1508184","1.1400","167","116","A","5","<p>A 40-year-old woman is approximately 10 weeks pregnant. &nbsp;She would prefer a LOWer risk and quick screening. What tests are available to determine whether her unborn child has Down syndrome</p>","<p>CVS&nbsp;</p>","<p>&nbsp;combined test&nbsp;</p>","<p>quadruble test&nbsp;</p>","<p>aminocentesis&nbsp;</p>","<p>ultrasound scan &nbsp;with NT&nbsp;</p>","<p>&nbsp;</p><p>Although aminocentesis has lower risk but CVS is done &nbsp;to normally amnoicentesis is not done before 14 weeks gestation and CVS can be done more advance and quicker .</p><p>&nbsp;</p><p>Down syndrome is mainly from trisomy 21 ,cells for chromosomal analysis can be collected by amniocentesis or chorionic villus biopsy (CVS). CVS has the advantage that suffi cient cells can be obtained immediately to do the analysis; whereas cells collected by amniocentesis, which is not usually done prior to 14 weeks&rsquo; gestation, must be cultured for approximately 2 weeks to obtain suffi cient numbers. The risk of fetal loss following CVS is 1%, which is about twice as high as that of amniocentesis.</p>","Case 7, Pregnancy, case 8"
"2329369","2016-10-14 22:39:51","1503863","2.8800","152","98","A","5","<p>Mesoderm gives rise to...</p>","<p>Bone and muscle</p>","<p>CNS and epidermis</p>","<p>Gut and respiratory tract</p>","<p>PNS and neuroglia</p>","<p>Retina and lens</p>","<p>A - Bone and muscle - CORRECT - sclerotome, myotome and dermatome of mesoderm gives rise to bone, muscle and connective tissue respectively</p><p>B - CNS and epidermis - WRONG - the ectoderm gives rise to these</p><p>C - Gut and respiratory tract - WRONG - the endoderm gives rise to these<br />D - PNS and neuroglia - WRONG - the ectoderm gives rise to these<br />E - Retina and lens - WRONG - The endoderm gives rise to this</p>","Case 7, Case group 33, Embryology"
"2329373","2016-10-14 22:41:02","1406615","3.2900","211","122","E","5","<p>There are different types of drugs that may be considered for managing the pain associated with childbirth.&nbsp;Which of the below drugs works as a result of the following mechanism of action:<br />&ldquo;An <strong>intramuscular</strong> injection of <strong>mu-opioid receptor agonist</strong> in the CNS suppressing pre-synaptic GABA release&rdquo;</p>","<p>Bupivacaine</p>","<p>Fentanyl</p>","<p>Nitrous Oxide</p>","<p>Paracetamol</p>","<p>Pethidine</p>","<p>A) <strong>Bupivacaine</strong> - INCORRECT: this drug acts a voltage-gated Na+ channel blocker in nociceptive axons<br />B) <strong>Fentanyl</strong> - INCORRECT: although this drug acts as a mu-opioid receptor agonist in the CNS suppressing pre-synaptic GABA release, this drug is given via<strong> IV infusion/intravenously/bolus</strong><br />C) <strong>NitrousOxide</strong> - INCORRECT: this drug&rsquo;s MOA is the stimulation of endogenous endorphin and endomorphic secretion<br />D) <strong>Paracetamol</strong> - INCORRECT: paracetamol is a COX inhibitor<br />E) <strong>Pethidine</strong> - CORRECT: this is a mu-opioid receptor agonist in the CNS suppressing pre-synaptic GABA release that is given <strong>intramuscularly</strong></p><p>&nbsp;</p><p><strong>NB:&nbsp;</strong>all can be used during labour</p>","case 8, Case group 33, Pharmacology"
"2329380","2016-10-14 22:42:59","1503863","2.9500","161","102","D","4","<p>What is the name of the key protein that is secreted to induce the sclerotome?</p>","<p>Homeobox (Hox) genes</p>","<p>Insulin</p>","<p>Human chorionic gonadotrophin (hCG)</p>","<p>Sonic Hedgehog protein (Shh)</p>","","<p>Hox WRONG - these are homeobox genes that code for transcription factors and play a role in cranial to caudal patterning of the germ layers</p><p><br />Insulin WRONG This is a hormone that is released from pancreatic beta cells to reduce blood glucose. Plays role in regulating foetal growth by IGF.</p><p><br />hCG WRONG This hormone is released from the placenta, to maintain the corpus luteum until the placenta takes over producing progesterone</p><p><br />Sonic Hedgehog CORRECT This protein induces neural patterning as well as patterning the somites - induces sclerotome. Works with Noggin protein</p>","Case 7, Case group 33, Embryology"
