"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"2339872","2016-10-19 02:35:53","1604351","3.1500","125","82","D","5","<p>A patient comes into a clinic with a sign of a 'winged scapula'.</p><p>&nbsp;</p><p>Which nerve has probably been damaged?</p>","<p>axillary nerve</p>","<p>radial nerve</p>","<p>ulnar nerve</p>","<p>long thoracic nerve</p>","<p>thoracodorsal nerve</p>","<p>The long thoracic nerve supplies <em>serratus anterior</em>.</p>","anatomy"
"2339883","2016-10-19 02:38:35","1605155","2.7500","91","67","B","4","<p>Whats the nerve that innervates the deltoid muscle ?</p>","<p>musculataneous nerve</p>","<p>axillary nerve</p>","<p>ulnar nerve</p>","<p>radial nerve</p>","","<p>the axillary innervates the deltoid muscle</p>","anatomy"
"2339885","2016-10-19 02:39:05","1601684","3.0000","148","99","A","5","<p>On what bone would you find the Olecranon fossa?</p>","<p>Humerus</p>","<p>Radius</p>","<p>Ulnar</p>","<p>&nbsp;Scapular&nbsp;</p>","<p>Hamate</p>","<p>The Olecranon fossa is found on the humerus.&nbsp;</p>","Upper limb anatomy"
"2339887","2016-10-19 02:39:27","1408007","3.0000","84","62","A","5","<p>What is the nerve that innervates the extensor carpi radialis?&nbsp;</p>","<p>Radial nerve&nbsp;</p>","<p>axillary nerve&nbsp;</p>","<p>median nerve&nbsp;</p>","<p>musculocutaneous nerve&nbsp;</p>","<p>Pectoral nerve&nbsp;</p>","","-"
"2339890","2016-10-19 02:39:43","1503491","2.7900","101","72","B","5","<p>What is the net gain of ATP produced in glycolysis</p>","<p>1</p>","<p>2</p>","<p>3</p>","<p>4</p>","<p>5</p>","<p>There is a net gain of 2 ATP from glycolysis</p><p>2 ATP are used up during the process&nbsp;</p><p>4 ATP are produced</p><p>Net gain = 2 ATP</p>","Respiration"
"2339892","2016-10-19 02:39:48","1601651","2.9300","95","67","A","5","<p>Which nerve innervates teres minor?</p>","<p>Axillary nerve&nbsp;</p>","<p>Dorsal Scapular nerve</p>","<p>Subclavian nerve</p>","<p>Long thoracic nerve</p>","<p>Thoracodorsal nerve&nbsp;</p>","","Anatomy"
"2339894","2016-10-19 02:40:01","1602505","2.9300","73","55","D","5","<p>The long thoracic nerve consists of which spinal roots?</p>","<p>C5,C6</p>","<p>C7,C8</p>","<p>C6,C7,C8</p>","<p>C5,C6,C7</p>","<p>C8,T1</p>","<p>Supplies serratus anterior. Also called Bell's nerve.</p>","-"
"2339896","2016-10-19 02:40:17","1601712","2.9200","97","72","C","5","<p>Which nerve&nbsp;primarily&nbsp;innervates the anterior arm?</p><p>&nbsp;</p>","<p>Radian Nerve</p>","<p>Ulnar nerve</p>","<p>Musculocutaneous nerve</p>","<p>Median Nerve</p>","<p>Axillary Nerve</p>","<p>The anterior arm is primarily supplied by the musculocutaneous nerve.</p>","anatomy"
"2339898","2016-10-19 02:40:30","1605484","3.0300","104","71","B","5","<p>What does the B oxidation metabolic pathway break down?</p>","<p>glycogen</p>","<p>lipids</p>","<p>glucose</p>","<p>hydrogen peroxide</p>","<p>polypeptide chains</p>","<p>B oxidation breaks down fatty acids and lipids into acetyl coA</p>","Metabolic pathways"
"2339900","2016-10-19 02:41:03","1601966","2.8200","107","74","A","5","<p>What part of the scapula articulates with the clavicle?&nbsp;</p>","<p>Acromion</p>","<p>Coracoid process</p>","<p>Infraspinous fossa</p>","<p>Spine</p>","<p>Supraspinous fossa&nbsp;</p>","<p>The scapula and clavicle articulate at the acromioclavicular joint&nbsp;</p>","anatomy, upper limb"
"2339901","2016-10-19 02:41:11","1605436","2.3200","98","74","D","5","<p>How many stages of hand washing are there?</p>","<p>3</p>","<p>5</p>","<p>6</p>","<p>7</p>","<p>9</p>","","clinical skills"
"2339902","2016-10-19 02:41:23","1504509","2.6200","86","60","B","5","<p>Which of these tissues/organs of the body contain smooth muscle?</p>","<p>The heart&nbsp;</p>","<p>The blood vessels</p>","<p>The kidneys</p>","<p>The rotator cuff muscles</p>","<p>The brachial plexus</p>","<p>Smooth muscle lines organs and involuntarily moves substances through lumen eg. Blood in the blood vessels</p>","Physiology"
"2339903","2016-10-19 02:41:26","1573717","2.6700","95","63","C","5","<p>Which nerve inervates the Latissimus dorsi muscle?</p>","<p>Suprascapular Nerve</p>","<p>Long Thoracic Nerve</p>","<p>Thoracodorsal Nerve</p>","<p>Musculucutaneous Nerve&nbsp;</p>","<p>Median Nerve</p>","","anatomy"
"2339904","2016-10-19 02:41:35","1606129","2.9000","99","70","D","4","<p>Which artery runs through brachial plexus?</p>","<p>Radial artery</p>","<p>Ulnar artery</p>","<p>Brachial artery</p>","<p>Axillary artery</p>","","","anatomy"
"2339905","2016-10-19 02:41:51","1606448","3.1100","103","66","A","5","<p>What nerve innervates the deltoid?</p><p>&nbsp;</p>","<p>Axillary Nerve</p>","<p>Suprascapular Nerve</p>","<p>Radial Nerve</p>","<p>Long Thoracic Nerve</p>","<p>Median Nerve</p>","<p>The axillary nerve originates from the anterior rami of the cervical nerves C5 and C6 and so supplies the deltoid.</p>","anatomy"
"2339907","2016-10-19 02:42:00","1606422","2.8900","109","80","C","5","<p>What nerves innervate the Pectoralis&nbsp;Major Muscle?</p>","<p>The Lateral Pectoral&nbsp;Nerve</p>","<p>The Medial Pectoral&nbsp;Nerve</p>","<p>The Medial Pectoral Nerve &amp; The Lateral Pectoral Nerve</p>","<p>The Pectoral Nerve</p>","<p>The Posterior Cord</p>","<p>Pectoralis Major is innervated by&nbsp;The Medial Pectoral Nerve &amp; The Lateral Pectoral Nerve, while the Pectorlis Minor is only Innervated by The Medial pectoral Nerve.</p>","Upper limb anatomy, anatomy, Anatomy"
"2339909","2016-10-19 02:42:05","1501754","2.9500","94","61","A","5","<p>What nerve innervates the triceps brachi&nbsp;</p>","<p>Radial</p>","<p>ulnar</p>","<p>median</p>","<p>axillary</p>","<p>long thoracic</p>","<p>It is innervated by the radial nerve&nbsp;</p>","anatomy"
"2339910","2016-10-19 02:42:18","1605277","2.4700","103","72","A","5","<p>Which bone connects the scapula to the thorax?</p>","<p>Clavicle</p>","<p>Humerus</p>","<p>Femur</p>","<p>Radius</p>","<p>Accromium</p>","","anatomy"
"2339913","2016-10-19 02:42:54","1505942","2.9200","85","62","C","5","<p>What are the cell to cell anchoring present in cardiac mycocytes?</p>","<p>Gap junctions</p>","<p>tight junctions&nbsp;</p>","<p>gap junctions and desmosomes and adherens</p>","<p>connexons</p>","<p>Adherens junction&nbsp;</p>","<p>gap junctions and desmosomes and adherens connect the intercalated discs in the cardiac tissue</p>","-"
"2339915","2016-10-19 02:43:06","1604186","3.0600","96","65","C","5","<p>Which nerve/s innervate/s the pectoralis major<img src=""../images/view.php?file=186098"" alt=""no description"" /></p>","<p>Lateral pectoral nerve</p>","<p>Medial pectoral nerve</p>","<p>Lateral and medial pectoral nerves</p>","<p>Axilary and lateral pectoral nerves</p>","<p>Radial nerve</p>","<p>The lateral and medial pectoral nerves innervate the pectoralis major, honey.</p>","anatomy"
"2339916","2016-10-19 02:43:34","1508020","2.8900","111","74","A","5","<p>Name the nerve which inervates the biceps brachia</p>","<p>Musculocutauneous</p>","<p>Radial</p>","<p>Median</p>","<p>Cephrenic</p>","<p>Subscapular</p>","<p>supplies all anterior arm</p>","anatomy"
"2339918","2016-10-19 02:43:40","1601804","2.7200","88","61","E","5","<p>What innervates serratus anterior?</p>","<p>Axillary</p>","<p>Brachial</p>","<p>Thoracodorsal</p>","<p>Assessory spinal</p>","<p>Long thoracic&nbsp;</p>","<p>Long thoracic nerve because it just does.</p>","anatomy"
