"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"2918545","2017-10-24 23:19:00","1105334","3.0400","142","76","D","5","<p>During a dermatology clinic, a patient is told that there are different types of epithelium throughout the body. The patient then proceeds to ask 'What type of epithelium is my skin classified as?' What answer do you give?</p>","<p>Simple Columnar Epithelium</p>","<p>Simple Cuboidal Epithelium&nbsp;</p>","<p>Simple Squamous Epithelium</p>","<p>Stratified Squamous Keratinised Epithelium</p>","<p>Urothelium</p>","<p>Skin is classified as 'stratified squamous keratinised' epithelium. Skin has multiple layers of cells, with a 'dead' layer of keratinised cells. This is because abrasion results in a high turnover of cells.</p><p>&nbsp;</p><p>A - found in the GI tract</p><p>B - found in the kidney tubules&nbsp;</p><p>C - found in the alveoli and glomeruli</p><p>E - found in the bladder</p><p>&nbsp;</p><p>This learning outcome comes from PCS1 principles of histology lecture&nbsp;</p>","-"
"2918828","2017-10-25 02:33:57","1702012","2.9000","85","69","D","5","<p>The vertebral column is the spine of the human body. The vertebral column usually consists of how many vertebrae?</p>","<p>30</p>","<p>31</p>","<p>32</p>","<p>33</p>","<p>34</p>","<p>The vertebral column usually consists of 33 vertebrae: 24 presacral vertebrae (7 cervical, 12 thoracic, and 5 lumbar) followed by the sacrum (5 fused sacral vertebrae) and the coccyx (4 frequently fused coccygeal vertebrae).</p>","-"
"2918829","2017-10-25 02:34:00","1704658","2.7800","114","80","C","5","<p>Which one of these features is not part of the humerus bone</p>","<p>Olecranon Fossa</p>","<p>Intertubercular groove</p>","<p>Glenoid fossa</p>","<p>Surgical neck</p>","<p>Medial epicondyle</p>","<p>Glenoid fossa is part of the scapula</p><p>&nbsp;</p>","Osteology, anatomy"
"2918838","2017-10-25 02:35:36","1706779","2.7800","90","67","B","5","<p>John comes into A&amp;E complaining of a sore and weak shoulder and is promptly diagnosed with having a winged scapula. Which nerve has been damaged to cause this injury?</p>","<p>Axillary nerve</p>","<p>Long thoracic nerve</p>","<p>Musculocutaneous nerve</p>","<p>Subclavian nerve</p>","<p>Lower subscapular nerve</p>","<p>Winging of the scapula is caused by lack of function of the serrated anterior muscle which is innervated by the long thoracic nerve.&nbsp;</p><p>A - supplies deltoid and teres minor</p><p>C - anterior arm</p><p>D - subclavius muscle</p><p>E - subscapularis and teres major</p><p>&nbsp;</p>","PCS 1 anatomy of upper limb"
"2918839","2017-10-25 02:35:38","1705133","2.7600","103","80","C","5","<p>a man is having problems in rotating his shoulder, what are the 4 main rotator cuff muscles&nbsp;</p>","<p>supraspinatus, teres major, infraspinatus, subscapularis&nbsp;</p>","<p>Supraspinatus, infraspinatus, deltoid, subscapularis&nbsp;</p>","<p>supraspinatus, teres minor, infraspinatus, subscapularis&nbsp;</p>","<p>supraspinatus, levator scapulae, teres minor, infraspinatus&nbsp;</p>","<p>Infraspinatus, teres minor, serrat anterior, subscapularis</p>","","-"
"2918841","2017-10-25 02:36:26","1602975","3.0300","98","77","D","5","<p>Mrs Jones is in the clinic complaining of numbness, pain and tingling in the thumb and index finger. The doctor diagnoses her with carpal tunnel syndrome. The compression of which nerve is most likely the cause of Mrs Jones symptoms?&nbsp;</p>","<p>Radial nerve&nbsp;</p>","<p>Ulnar nerve&nbsp;</p>","<p>the Axillary nerve&nbsp;</p>","<p>The median nerve&nbsp;</p>","<p>musculocutaneous nerve&nbsp;</p>","<p>Carpal tunnel syndrome is caused by compression of the median nerve as it travels through the wrist at the carpal tunnel. The median nerve supplies the thumb, index finger and middle finger, so the pain in these three areas suggests the median nerve is involved.&nbsp;</p>","-"
"2918845","2017-10-25 02:36:45","1607560","2.9500","117","91","B","5","<p>Mrs Smith has a nasty case of winged scapula, as she has damaged her long thoracic nerve.&nbsp; Paralysis of which muscle has occurred and caused the winging of the scapula?&nbsp;</p>","<p>Trapezius&nbsp;</p>","<p>Serratus Anterior</p>","<p>Deltoid&nbsp;</p>","<p>Latissimus Dorsi&nbsp;</p>","<p>Subscapularis&nbsp;</p>","<p>Damage to the long thoracic nerve can cause paralysis of the serratus anterior, which protracts and stabilizes the scapula. <br />Trapezius - Spinal accessory nerve<br />Deltoid - Axillary nerve<br />Subscapularis - Upper and lower suprascapular nerves<br />Latissimus Dorsi - Thoracodorsal nerve</p>","Anatomy"
"2918847","2017-10-25 02:37:14","1703771","2.7700","132","95","D","5","<p>An X-Ray has shown that Miss Guy has a fractured clavicle. Where is the fracture most likely to be?<img src=""https://i.pinimg.com/564x/61/c6/a3/61c6a339c66a7c7d0b9e879a36c17658--hand-wrist-anatomy-and-physiology.jpg"" alt=""The clavicle"" width=""374"" height=""326"" /></p>","<p>At the acromial end</p>","<p>At the sternal end&nbsp;</p>","<p>Between the medial 1/3 and lateral 2/3</p>","<p>Between the medial 2/3 and lateral 1/3<a class=""checkbox-select"" style=""width: 85px; background: url('../bin/images/newQImg/select.gif') 0px 0px no-repeat;"" href=""main.php"" target=""_blank""><br /></a></p>","<p>In the middle of the shaft</p>","<p>The clavicle is most commonly fractured between the medial 2/3 and lateral 1/3, as explained in this link: http://teachmeanatomy.info/upper-limb/bones/clavicle/</p><p>This is from a learning outcome detailed in the first anatomy handbook about the upper limb.</p>","Osteology, PCS 1 anatomy of upper limb, anatomy"
"2918848","2017-10-25 02:37:27","1704991","2.7800","102","72","E","5","<p>What is the normal resting potential of the cardiac muscle in the heart?</p>","<p>90mV</p>","<p>-70mV</p>","<p>-29mV</p>","<p>70mV</p>","<p>-90mV</p>","<p>The resting potential is -70mV in neurones, but in the cardiac muscle the resting potential is closer to that of the equilibrium potential of Potassium at -90mV</p>","Resting Potentials"
"2918849","2017-10-25 02:37:41","1702860","2.8500","79","62","C","5","<p>The palmar interossei is innervated by which nerve?</p>","<p>median nerve</p>","<p>radial nerve&nbsp;</p><p>&nbsp;</p>","<p>ulnar nerve</p>","<p>musculocutaneous nerve</p>","<p>axillary nerve</p>","<p>The palmar interossei is innervated by the ulnar nerve.</p><p>These are muscles located in the palm and in between the bones, hence palmar interossei.</p><p>Function: adducts the finger</p>","-"
"2918858","2017-10-25 02:38:36","1706699","2.4600","88","76","E","5","<p>John undergoes strenuous exercise meaning that his glucose is utilised from glycogen storage within his body,which two components are the key glycogen storage spaces that provide John with the glucose required for exercise?</p>","<p>Liver</p>","<p>Liver, cardiac and Skeletal muscles</p>","<p>Skeletal muscles</p>","<p>Skeletal muscles and Blood plasma</p>","<p>Skeletal muscle and the liver</p>","<p>Glycogen is stored within Skeletal muscle and the liver in in order to be broke down into glucose for muscle contraction</p>","-"
"2918860","2017-10-25 02:38:53","1701385","2.7400","88","68","D","5","<p>Mrs Jones has presented to her GP with ""winging of the scapula"", which nerve is likely to be damaged?</p>","<p>Axillary nerve</p>","<p>Musculocutaneous nerve&nbsp;</p>","<p>Radial nerve</p>","<p>Long thoracic nerve&nbsp;</p>","<p>Ulnar nerve</p>","<p>D: Long thoracic nerve</p><p>This nerve supplies the serrates anterior muscle. Serratus anterior inserts onto the medial border of the scapula and is responsible for drawing the scapular anteriorly, its main function being protraction of the scapula.&nbsp;</p>","-"
"2918861","2017-10-25 02:39:42","1602037","2.3900","92","69","C","5","<p>Johnny falls and dislocates his shoulder after falling whilst running in the rain trying to make it to the medic ball. &nbsp;He is now unable to abduct his shoulder. What nerve is most likely to have been damaged?</p>","<p>Ulnar nerve&nbsp;</p>","<p>Radial nerve&nbsp;</p>","<p>Auxillary nerve&nbsp;</p>","<p>Median nerve&nbsp;</p>","<p>Musculocutaneous Nerve&nbsp;</p>","<p>The Auxillary nerve innervates the deltoid which is the major abductor of the arm.</p>","Upper limb anatomy"
